entry_number,inci_name,normalized_inci_name,recognition_source,source_document,source_eli,extracted_from_pdf
11,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
12,(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT,(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
13,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED) PORIA COCOS WATER,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED) PORIA COCOS WATER,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
14,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
15,(ANGELICA SINENSIS/CODONOPSIS PILOSULA/RHODIOLA ROSEA) ROOT/SAFFLOWER FLOWER/COMMIPHORA MYRRHA SAP/WISTERIOPSIS RETICULATA STEM EXTRACT,(ANGELICA SINENSIS/CODONOPSIS PILOSULA/RHODIOLA ROSEA) ROOT/SAFFLOWER FLOWER/COMMIPHORA MYRRHA SAP/WISTERIOPSIS RETICULATA STEM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
16,(ANTHEMIS NOBILIS/CALENDULA OFFICINALIS/CENTAUREA CYANUS/MATRICARIA CHAMOMILLA/TILIA CORDATA) FLOWER/HYPERICUM PERFORATUM FLOWER/LEAF/STEM EXTRACT,(ANTHEMIS NOBILIS/CALENDULA OFFICINALIS/CENTAUREA CYANUS/MATRICARIA CHAMOMILLA/TILIA CORDATA) FLOWER/HYPERICUM PERFORATUM FLOWER/LEAF/STEM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
17,(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE,(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
18,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN/MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN/MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
19,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
20,(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL,(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
21,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
22,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM/MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM/MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
23,(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT,(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
24,(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT,(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
25,(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT,(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
26,(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT,(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
27,(ASPARAGUS COCHINCHINENSIS/LIRIOPE MUSCARI/REHMANNIA CHINENSIS ROOT)/PORIA COCOS EXTRACT,(ASPARAGUS COCHINCHINENSIS/LIRIOPE MUSCARI/REHMANNIA CHINENSIS ROOT)/PORIA COCOS EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
28,(ASPARAGUS COCHINCHINENSIS/LIRIOPE MUSCARI/REHMANNIA CHINENSIS) ROOT EXTRACT,(ASPARAGUS COCHINCHINENSIS/LIRIOPE MUSCARI/REHMANNIA CHINENSIS) ROOT EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
29,(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
30,(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
31,(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT,(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT,EU_Glossary_2025_1175,Commission Implementing Decision (EU) 2025/1175 - Annex: Glossary of common ingredient names,http://data.europa.eu/eli/dec_impl/2025/1175/oj,OJ_L_202501175_EN_TXT (1).pdf
